Year,Police_Department,Officers_per_10K_Population,Officers,Total_Employees_per_10K_Population,Total_Employees,Population
2016,"East Chicago, Indiana",33,94,35.4,101,28484.84848
2016,"Springfield Township, Hamilton County, Ohio",12.9,47,14.8,54,36434.10853
2016,"Downey, California",9.2,106,13.1,150,115217.3913
2016,"McHenry, Illinois",17.3,46,21.4,57,26589.59538
2016,"Fitchburg, Massachusetts",19.3,78,23.3,94,40414.50777
2016,"Lake Charles, Louisiana",23.8,183,24.2,186,76890.7563
2016,"Flint, Michigan",10.6,103,12,117,97169.81132
2016,"Cape Coral, Florida",12.3,221,17,306,179674.7967
2016,"Rowlett, Texas",12.4,76,16.7,102,61290.32258
2016,"Columbia, Missouri",12.4,150,15,182,120967.7419
2016,"Chandler, Arizona",12.4,329,18.7,497,265322.5806
2016,"Redwood City, California",10.5,91,13.3,116,86666.66667
2016,"Canton, Georgia",17.3,45,19.2,50,26011.56069
2016,"Norristown, Pennsylvania",19.5,67,23.8,82,34358.97436
2016,"Anderson, South Carolina",33.1,91,46.5,128,27492.44713
2016,"Lawrence Township, New Jersey",17.6,58,18.8,62,32954.54545
2016,"Bartlett, Tennessee",20.4,120,26.3,155,58823.52941
2016,"Pennsauken Township, New Jersey",20.6,73,22.9,81,35436.8932
2016,"North Huntingdon Township, Pennsylvania",9.1,28,11,34,30769.23077
2016,"Huntersville, North Carolina",15.8,85,16.9,91,53797.46835
2016,"Cathedral City, California",9,49,13.6,74,54444.44444
2016,"Newport News, Virginia",22.6,410,30.1,547,181415.9292
2016,"Springville, Utah",7.6,25,10.7,35,32894.73684
2016,"Colonie Town, New York",13.9,111,18.7,150,79856.11511
2016,"Greenville, Texas",20.2,54,27.4,73,26732.67327
2016,"Elgin, Illinois",16.1,182,21.8,246,113043.4783
2016,"Madison, Wisconsin",18.9,476,23,580,251851.8519
2016,"Southampton Town, New York",18.4,94,24.6,126,51086.95652
2016,"Collierville, Tennessee",20,99,27.7,137,49500
2016,"Roseville, Minnesota",13.4,48,15.6,56,35820.89552
2016,"Galt, California",12.9,33,19.1,49,25581.39535
2016,"Freehold Township, New Jersey",18.2,65,19.3,69,35714.28571
2016,"Normal, Illinois",14.8,81,17,93,54729.72973
2016,"South Kingstown, Rhode Island",16.8,52,22.7,70,30952.38095
2016,"Salem, Massachusetts",23.3,100,24.7,106,42918.45494
2016,"Hanover Park, Illinois",14.6,56,21.1,81,38356.16438
2016,"Las Cruces, New Mexico",17.8,182,25,256,102247.191
2016,"Port Arthur, Texas",20.2,112,26.7,148,55445.54455
2016,"Everett, Washington",17.2,187,20.7,226,108720.9302
2016,"Lakewood, Colorado",17,263,27,417,154705.8824
2016,"Wilmington, North Carolina",22.1,260,28.1,331,117647.0588
2016,"Trumbull, Connecticut",20.4,75,23.4,86,36764.70588
2016,"Cleburne, Texas",17.3,52,23.3,70,30057.80347
2016,"Riverside, California",10.7,350,15.4,503,327102.8037
2016,"El Mirage, Arizona",11.6,40,15.7,54,34482.75862
2016,"Cookeville, Tennessee",21.7,70,27.9,90,32258.06452
2016,"Midland, Michigan",10.9,46,11.4,48,42201.83486
2016,"West Bend, Wisconsin",16.7,53,22,70,31736.52695
2016,"Union Township, New Jersey",22.9,133,31.3,182,58078.60262
2016,"Warren, Michigan",14.5,196,17.3,235,135172.4138
2016,"Pflugerville, Texas",13.9,82,18.5,109,58992.80576
2016,"Maple Grove, Minnesota",9.5,66,11.3,79,69473.68421
2016,"Murfreesboro, Tennessee",16.8,218,20.6,267,129761.9048
2016,"Freeport Village, New York",22.6,98,26.5,115,43362.83186
2016,"Wenatchee, Washington",11.2,38,13.9,47,33928.57143
2016,"York, Pennsylvania",23.9,105,27.3,120,43933.05439
2016,"Framingham, Massachusetts",20.2,144,22.1,158,71287.12871
2016,"Scranton, Pennsylvania",19.4,150,22,170,77319.58763
2016,"Madison Heights, Michigan",15.2,46,19.1,58,30263.15789
2016,"Tacoma, Washington",16,336,17.7,371,210000
2016,"Plano, Texas",12.1,350,17.8,512,289256.1983
2016,"La Habra, California",11,69,15.8,99,62727.27273
2016,"Issaquah, Washington",8.8,33,16.4,61,37500
2016,"Millville, New Jersey",26.3,74,30.2,85,28136.88213
2016,"Tempe, Arizona",19.9,355,27.6,493,178391.9598
2016,"Northport, Alabama",23.6,59,30.7,77,25000
2016,"Valparaiso, Indiana",15.2,50,16.8,55,32894.73684
2016,"San Bernardino, California",9.9,215,16.6,360,217171.7172
2016,"Sacramento, California",13.2,652,19.3,954,493939.3939
2016,"Huntington Park, California",8.5,51,14.4,86,60000
2016,"Enid, Oklahoma",18.8,98,23.4,122,52127.65957
2016,"Vallejo, California",9,110,12.3,150,122222.2222
