Year	Police Department	Officers per 10K Population	Officers	Total Employees per 10K Population	Total Employees	
2016	"Owasso, Oklahoma"	15.5	55	20.5	73	
2016	"Plant City, Florida"	17.7	67	22.1	84	
2016	"Cleveland, Tennessee"	19.1	85	23.2	103	
2016	"Cedar Falls, Iowa"	9.6	40	9.8	41	
2016	"Newark, Delaware"	20.7	71	25.7	88	
2016	"Alexandria, Louisiana"	32.8	157	39.6	190	
2016	"Addison, Illinois"	17.7	66	31.9	119	
2016	"Gates Town, New York"	10.5	30	12.2	35	
2016	"El Centro, California"	10.9	48	16.1	71	
2016	"Ventura, California"	11.3	125	15	165	
2016	"Dallas, Texas"	24.8	"3,279"	29	"3,829"	
2016	"West Chicago, Illinois"	16.7	46	18.6	51	
2016	"East Lansing, Michigan"	11.1	54	13.8	67	
2016	"Irondequoit Town, New York"	9.6	49	11.8	60	
2016	"Watsonville, California"	12.6	68	15.9	86	
2016	"Winter Park, Florida"	26.4	80	36.2	110	
2016	"Cottonwood Heights, Utah"	12.2	42	15.1	52	
2016	"Odessa, Texas"	13.5	166	17.9	220	
2016	"Carlsbad, New Mexico"	21	62	30.1	89	
2016	Metropolitan Police Department of the District of Columbia	55.1	"3,753"	63.9	"4,352"	
2016	"North Richland Hills, Texas"	15.6	110	26.4	186	
2016	"Sumter, South Carolina"	26.9	110	38.7	158	
2016	"Daphne, Alabama"	19.6	50	28.9	74	
2016	"Waterford Township, Michigan"	7.2	53	9.5	70	
2016	"Andover, Massachusetts"	14.3	51	20	71	
2016	"Bowling Green, Kentucky"	18	116	23.4	151	
2016	"Redlands, California"	11.2	80	16.5	118	
2016	"Henderson, Nevada"	12	350	20.2	588	
2016	"Kansas City, Kansas"	22.4	339	28	425	
2016	"Glenview, Illinois"	14.4	69	15.4	74	
2016	"Lebanon, Pennsylvania"	16	41	17.2	44	
2016	"Marshfield, Massachusetts"	17.9	46	19.1	49	
2016	"St. Charles, Missouri"	15.9	110	21.9	152	
2016	"Chesterfield, Missouri"	18.8	90	20.9	100	
2016	"West New York, New Jersey"	20.3	109	22.1	119	
2016	"Brawley, California"	13.8	36	19.2	50	
2016	"Jupiter, Florida"	17.7	114	22.1	142	
2016	"Santa Monica, California"	21.7	204	39.8	374	
2016	"Billerica, Massachusetts"	15.1	65	18.2	78	
2016	"Winter Haven, Florida"	22.3	86	29.1	112	
2016	"Everett, Washington"	17.2	187	20.7	226	
2016	"Elkhart, Indiana"	22.9	120	27	142	
2016	"Mint Hill, North Carolina"	11.8	31	13	34	
2016	"Ridgecrest, California"	11	32	17.2	50	
2016	"Maryland Heights, Missouri"	28.5	78	34.7	95	
2016	"Omaha, Nebraska"	17.9	798	20.8	926	
2016	"Duncanville, Texas"	13.5	54	16.5	66	
